"From","To","Alt Text","Real Dimensions (WxH)","Dimensions in Attributes (WxH)","Display Dimensions (WxH)","Potential Savings","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/09/site-logo.svg","Welcome to TX SPARKS","","209x45","","","Absolute","//body/div[@id='page-container']/header/div/div[@class='logo_container']/a/img","Header","HTML","9058","9058"
"https://www.txsparks.com/","https://superconstruct.io/wp-content/uploads/2025/08/txsparks-search.svg","Search Icon","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-search-box']/form/button/img","Header","HTML","526","526"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/10/header-phone-icon-new.svg","Call TX Sparks at 469-598-2558","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-phone-number']/div/div/div[@class='header-phone-section-left']/a/img","Header","HTML","621","621"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/10/facebook-menu.svg","Facebook","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-menu-sidebar']/div/div[@id='full-screen-menu']/div[2]/div[2]/div[@class='social-media-links']/a[1]/img","Header","HTML","449","449"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/10/instagram-menu.svg","Instagram","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-menu-sidebar']/div/div[@id='full-screen-menu']/div[2]/div[2]/div[@class='social-media-links']/a[2]/img","Header","HTML","948","948"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/10/youtube-menu.svg","YouTube","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-menu-sidebar']/div/div[@id='full-screen-menu']/div[2]/div[2]/div[@class='social-media-links']/a[3]/img","Header","HTML","549","549"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/10/linkedin-menu.svg","LinkedIn","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-menu-sidebar']/div/div[@id='full-screen-menu']/div[2]/div[2]/div[@class='social-media-links']/a[4]/img","Header","HTML","591","591"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2025/10/txsparks-whatsapp-1.png","WhatsApp","","","","","Absolute","//body/div[@id='page-container']/header/div/div[3]/div[@class='header-menu-sidebar']/div/div[@id='full-screen-menu']/div[2]/div[2]/div[@class='social-media-links']/a[5]/img","Header","HTML","1618","1618"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2025/08/home-slider-new-1-1.webp","","","1002x668","","","Absolute","//body/div[@id='page-container']/div/div/article/div/div/div/div[1]/div[1]/div/div/div/div/div/div/div/div/div/div[@class='slider-text-right']/img","Content","HTML","55110","55110"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2024/11/mobile-slider-img.png","","","","","","Absolute","//body/div[@id='page-container']/div/div/article/div/div/div/div[1]/div[2]/div[1]/div/div/img","Content","HTML","51335","51335"
"https://www.txsparks.com/","https://www.txsparks.com/wp-content/uploads/2025/07/paris-baguette-mark.webp","Paris Baguette Bakery Cafe logo","","69x76","","","Absolute","//body/div[@id='page-container']/div/div/article/div/div/div/div[2]/div/div[2]/div/div/div/p[1]/a/img","Content","HTML","2140","2140"
